prix_m2;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente
4677.932892481019;2.265332;48.929755;920250000J;920250000J0087;6127;0
3902.298019945079;2.246255;48.926389;92025000BS;92025000BS0012;7165;0
2667.006349206349;2.235033;48.91047;92025000BC;92025000BC0001;1634;0
3890.6985161056823;2.231067;48.918045;92025000BG;92025000BG0006;0666;0
3690.337601862631;2.246255;48.926389;92025000BS;92025000BS0012;7165;0
5815.831987075929;2.251884;48.92068;92025000AM;92025000AM0201;0750;0
4405.177777777778;2.252587;48.932724;920250000B;920250000B0252;0010;1
6217.507376703667;2.237885;48.914655;92025000AY;92025000AY0259;4270;0
4711.929749411009;2.263199;48.924723;920250000U;920250000U0191;0022;0
4809.141135107986;2.252097;48.922658;92025000AC;92025000AC0330;4172;0
4722.222222222223;2.264766;48.928949;920250000R;920250000R0331;6127;0
3313.348059324708;2.245992;48.921918;92025000BI;92025000BI0093;4115;0
5495.537811178958;2.24239;48.917732;92025000AV;92025000AV0209;3540;0
5687.996654119615;2.251922;48.91696;92025000AL;92025000AL0170;4433;0
5494.505494505494;2.249246;48.924507;92025000BJ;92025000BJ0025;8825;0
4398.981053972298;2.26087;48.925853;920250000T;920250000T0323;1511;0
5997.05485004053;2.268964;48.928466;920250000Q;920250000Q0394;8567;0
6352.390504847877;2.271496;48.927161;920250000P;920250000P0114;5234;0
4805.7024603357095;2.249579;48.923907;92025000BJ;92025000BJ0080;8825;0
5317.886178861789;2.254244;48.932511;920250000B;920250000B0249;0010;1
7191.166666666667;2.252587;48.932724;920250000B;920250000B0252;0010;1
5623.100303951368;2.232262;48.911353;92025000CF;92025000CF0225;1564;0
3654.175089410667;2.246603;48.923661;92025000BK;92025000BK0158;0065;0
5817.519647306881;2.253285;48.916375;92025000AG;92025000AG0091;4442;0
4313.874147081122;2.23829;48.92626;92025000BX;92025000BX0207;4628;0
5077.047850770478;2.259853;48.920417;920250000Z;920250000Z0014;6158;0
5328.935948620031;2.235928;48.910174;92025000BC;92025000BC0203;1564;0
4207.7464788732395;2.25553;48.922533;92025000AB;92025000AB0331;4462;0
4491.163373493976;2.271349;48.927369;920250000P;920250000P0208;3153;1
6968.374558303887;2.232262;48.911353;92025000CF;92025000CF0225;1564;0
5846.574765863412;2.249391;48.921706;92025000AN;92025000AN0761;3170;0
3970.6780696395845;2.231307;48.919018;92025000BP;92025000BP0218;0680;0
4526.667978744342;2.24875;48.923265;92025000BJ;92025000BJ0056;3113;0
4600.0;2.257076;48.93355;920250000H;920250000H0476;3576;1
4767.184035476718;2.252379;48.916973;92025000AL;92025000AL0172;4442;0
5835.764902042518;2.249136;48.925567;920250000C;920250000C0095;8120;0
5115.251026207768;2.233155;48.91434;92025000BE;92025000BE0149;4270;1
5256.883333333333;2.257076;48.93355;920250000H;920250000H0476;3576;1
5738.859764089122;2.254992;48.921233;92025000AE;92025000AE0242;3195;0
5398.257622899813;2.227295;48.914577;92025000CD;92025000CD0024;7230;0
5551.443375277572;2.237069;48.918993;92025000BH;92025000BH0065;4443;0
5577.4647887323945;2.255355;48.92065;92025000AE;92025000AE0215;1491;0
5033.333333333333;2.231823;48.91578;92025000BF;92025000BF0056;4115;1
6369.047619047619;2.233155;48.91434;92025000BE;92025000BE0149;4270;1
6353.658536585366;2.252068;48.928295;920250000D;920250000D0086;0145;1
4259.850905218317;2.259659;48.924277;920250000T;920250000T0106;1512;0
6052.311435523114;2.245373;48.914095;92025000AT;92025000AT0189;8830;0
6733.333333333333;2.255366;48.929762;920250000G;920250000G0224;9614;1
5903.2956458984845;2.254636;48.914403;92025000AJ;92025000AJ0190;2539;0
5875.985773929178;2.235928;48.910174;92025000BC;92025000BC0203;1564;0
5465.5475307437055;2.253666;48.926823;920250000F;920250000F0007;9614;0
6414.241311104832;2.249391;48.921706;92025000AN;92025000AN0761;3170;0
4912.087912087912;2.257076;48.93355;920250000H;920250000H0476;3576;1
5878.4456991032885;2.254636;48.914403;92025000AJ;92025000AJ0190;2539;0
5940.002390343014;2.254803;48.923235;92025000AC;92025000AC0408;6870;0
5898.876404494382;2.253238;48.927224;920250000D;920250000D0072;5280;0
3750.8722958827634;2.254746;48.928869;920250000G;920250000G0140;9614;0
5993.930197268589;2.25219;48.918311;92025000AM;92025000AM0056;4442;0
5196.189290161893;2.236011;48.912683;92025000AZ;92025000AZ0066;1634;0
5053.394355453852;2.262261;48.920069;920250000Z;920250000Z0195;8881;0
4259.771904761905;2.271349;48.927369;920250000P;920250000P0208;3153;1
5291.3488372093025;2.254244;48.932511;920250000B;920250000B0249;0010;1
4236.947710843373;2.271349;48.927369;920250000P;920250000P0208;3153;1
4716.345505996497;2.261917;48.924412;920250000U;920250000U0232;0022;0
4779.513715710723;2.254244;48.932511;920250000B;920250000B0249;0010;1
7677.419354838709;2.231823;48.91578;92025000BF;92025000BF0056;4115;1
5258.064516129032;2.231823;48.91578;92025000BF;92025000BF0056;4115;1
5455.088925422209;2.232262;48.911353;92025000CF;92025000CF0225;1481;0
4390.061647674202;2.232262;48.911353;92025000CF;92025000CF0225;1481;0
