prix_m2;nom_commune;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;construction_recente;type_appart;centre_ville_distance;nb_ecole_proximite_500m;nb_gare_proximite_500m;nb_supermarket_500m;nb_centrecommercial_proximite_500m;nb_hospital_500m
6489.726027397261;Clichy;2.314264;48.902782;920240000U;920240000U0012;4430;0;T2;0.6850757215942503;7;0;6;0;2
8184.372141643799;Clichy;2.309617;48.900251;920240000Z;920240000Z0260;0620;0;T4;0.4467392329910109;9;1;9;0;2
7701.566951566952;Clichy;2.314993;48.905948;920240000T;920240000T0313;4130;0;T4;0.8168019030541952;5;0;3;0;2
7505.175983436853;Clichy;2.304899;48.899566;920240000Q;920240000Q0070;4420;0;T3;0.36073912906532546;9;1;11;0;0
7025.974025974026;Clichy;2.305243;48.907106;920240000J;920240000J0103;0025;1;T4;0.47835889578200536;6;1;5;0;1
6782.608695652174;Clichy;2.305243;48.907106;920240000J;920240000J0103;0025;1;T4;0.47835889578200536;6;1;5;0;1
4951.995957554321;Clichy;2.314336;48.900237;920240000X;920240000X0025;9640;0;T2;0.7473056646694083;4;0;4;0;2
7565.135007105638;Clichy;2.307468;48.900826;920240000R;920240000R0097;4420;0;T1;0.2890951380708928;8;1;13;0;1
7385.820280296785;Clichy;2.30474;48.896545;92024000AD;92024000AD0056;1430;0;T3;0.6968191569121099;2;0;6;0;0
7827.083674471917;Clichy;2.308857;48.90177;920240000Z;920240000Z0006;5140;0;T3;0.31096174176437724;9;1;11;0;1
6728.395061728395;Clichy;2.305243;48.907106;920240000J;920240000J0103;0025;1;T4;0.47835889578200536;6;1;5;0;1
6775.0;Clichy;2.30503;48.906968;920240000J;920240000J0108;3150;1;T2;0.4624953628392877;7;1;5;0;1
2702.7027027027025;Clichy;2.308179;48.910473;920240000G;920240000G0062;7170;0;T1;0.885070093569724;6;0;2;0;1
5352.65306122449;Clichy;2.309252;48.90425;920240000S;920240000S0154;7152;0;T3;0.35571103314371866;12;1;6;0;2
5749.075975359343;Clichy;2.309252;48.90425;920240000S;920240000S0154;0040;0;T3;0.35571103314371866;12;1;6;0;2
6627.608934456243;Clichy;2.296566;48.899508;920240000O;920240000O0008;7155;0;T1;0.7140990703452333;6;1;2;0;0
