valeur_fonciere;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;lots_surface_logement;nombre_pieces_principales;construction_recente
351470.0;2.257416;48.914119;92025000AJ;92025000AJ0150;9611;65.0;3.0;0
389000.0;2.257076;48.93355;920250000H;920250000H0476;3576;86.0;4.0;1
321300.0;2.23829;48.92626;92025000BX;92025000BX0207;4628;75.95;4.0;0
355000.0;2.253965;48.914015;92025000AJ;92025000AJ0294;4442;65.39;3.0;0
255200.0;2.267261;48.923457;920250000V;920250000V0146;9145;45.64;3.0;0
215000.0;2.268964;48.928466;920250000Q;920250000Q0394;8567;43.66;2.0;0
256000.0;2.255366;48.929762;920250000G;920250000G0224;9614;45.0;2.0;1
224075.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;30.0;1.0;1
358000.0;2.238479;48.91359;92025000AY;92025000AY0142;6265;57.74;3.0;0
165000.0;2.226255;48.917958;92025000BQ;92025000BQ0293;1666;57.16;3.0;0
346000.0;2.260521;48.923527;920250000X;920250000X0180;9653;77.79;3.0;0
297000.0;2.255366;48.929762;920250000G;920250000G0224;9614;65.0;3.0;1
215000.0;2.266863;48.926011;920250000Q;920250000Q0052;3110;36.17;2.0;0
185000.0;2.247144;48.924855;92025000BJ;92025000BJ0045;3113;41.19;2.0;0
402000.0;2.243251;48.917321;92025000AU;92025000AU0318;3170;68.44;3.0;0
235000.0;2.260147;48.933013;920250000H;920250000H0298;0159;65.48;3.0;0
252075.38;2.232656;48.922969;92025000BX;92025000BX0218;1572;41.0;2.0;1
203625.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;41.0;2.0;1
395625.0;2.225002;48.916161;92025000BZ;92025000BZ0027;1530;107.0;4.0;1
241000.0;2.241788;48.919786;92025000BH;92025000BH0307;4115;54.36;3.0;0
406080.0;2.260664;48.923117;920250000X;920250000X0175;4480;63.02;4.0;0
210000.0;2.253426;48.928191;920250000D;920250000D0068;7220;45.66;3.0;0
356000.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;80.0;4.0;1
228700.0;2.255139;48.917996;92025000AF;92025000AF0125;7170;35.54;2.0;0
240615.0;2.25553;48.922533;92025000AB;92025000AB0331;4462;48.0;2.0;0
332850.0;2.25553;48.922533;92025000AB;92025000AB0331;4462;78.42;4.0;0
310000.0;2.231901;48.915059;92025000BE;92025000BE0386;2573;64.01;3.0;0
246675.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;42.0;2.0;1
228150.0;2.235735;48.919656;92025000BN;92025000BN0226;6295;56.65;3.0;0
288400.0;2.252068;48.928295;920250000D;920250000D0086;0145;63.0;3.0;1
415350.0;2.241498;48.924817;92025000BL;92025000BL0194;9970;84.0;4.0;1
318873.75;2.241498;48.924817;92025000BL;92025000BL0194;9970;65.0;3.0;1
245000.0;2.266021;48.922241;920250000V;920250000V0305;4480;50.06;2.0;0
191000.0;2.265332;48.929755;920250000J;920250000J0087;6127;40.83;2.0;0
270000.0;2.246255;48.926389;92025000BS;92025000BS0012;7165;69.19;4.0;0
168021.4;2.235033;48.91047;92025000BC;92025000BC0001;1634;63.0;3.0;0
215000.0;2.231067;48.918045;92025000BG;92025000BG0006;0666;55.26;3.0;0
158500.0;2.246255;48.926389;92025000BS;92025000BS0012;7165;42.95;3.0;0
144000.0;2.251884;48.92068;92025000AM;92025000AM0201;0750;24.76;1.0;0
396466.0;2.252587;48.932724;920250000B;920250000B0252;0010;90.0;4.0;1
442500.0;2.237885;48.914655;92025000AY;92025000AY0259;4270;71.17;3.0;0
220000.0;2.263199;48.924723;920250000U;920250000U0191;0022;46.69;1.0;0
383000.0;2.252097;48.922658;92025000AC;92025000AC0330;4172;79.64;4.0;0
255000.0;2.264766;48.928949;920250000R;920250000R0331;6127;54.0;3.0;0
210000.0;2.245992;48.921918;92025000BI;92025000BI0093;4115;63.38;3.0;0
117000.0;2.24239;48.917732;92025000AV;92025000AV0209;3540;21.29;1.0;0
136000.0;2.251922;48.91696;92025000AL;92025000AL0170;4433;23.91;1.0;0
170000.0;2.249246;48.924507;92025000BJ;92025000BJ0025;8825;30.94;2.0;0
276300.0;2.26087;48.925853;920250000T;920250000T0323;1511;62.81;3.0;0
443902.0;2.268964;48.928466;920250000Q;920250000Q0394;8567;74.02;4.0;0
190000.0;2.271496;48.927161;920250000P;920250000P0114;5234;29.91;2.0;0
209000.0;2.249579;48.923907;92025000BJ;92025000BJ0080;8825;43.49;2.0;0
327050.0;2.254244;48.932511;920250000B;920250000B0249;0010;61.5;3.0;1
215735.0;2.252587;48.932724;920250000B;920250000B0252;0010;30.0;1.0;1
370000.0;2.232262;48.911353;92025000CF;92025000CF0225;1564;65.8;3.0;0
235000.0;2.246603;48.923661;92025000BK;92025000BK0158;0065;64.31;3.0;0
303500.0;2.253285;48.916375;92025000AG;92025000AG0091;4442;52.17;2.0;0
341400.0;2.23829;48.92626;92025000BX;92025000BX0207;4628;79.14;4.0;0
313000.0;2.259853;48.920417;920250000Z;920250000Z0014;6158;61.65;3.0;0
307000.0;2.235928;48.910174;92025000BC;92025000BC0203;1564;57.61;3.0;0
334600.0;2.25553;48.922533;92025000AB;92025000AB0331;4462;79.52;4.0;0
372766.56;2.271349;48.927369;920250000P;920250000P0208;3153;83.0;4.0;1
197205.0;2.232262;48.911353;92025000CF;92025000CF0225;1564;28.3;1.0;0
555600.0;2.249391;48.921706;92025000AN;92025000AN0761;3170;95.03;4.0;0
260000.0;2.231307;48.919018;92025000BP;92025000BP0218;0680;65.48;4.0;0
230000.0;2.24875;48.923265;92025000BJ;92025000BJ0056;3113;50.81;3.0;0
460000.0;2.257076;48.93355;920250000H;920250000H0476;3576;100.0;4.0;1
43000.0;2.252379;48.916973;92025000AL;92025000AL0172;4442;9.02;1.0;0
280000.0;2.249136;48.925567;920250000C;920250000C0095;8120;47.98;3.0;0
324000.0;2.233155;48.91434;92025000BE;92025000BE0149;4270;63.34;3.0;1
315413.0;2.257076;48.93355;920250000H;920250000H0476;3576;60.0;3.0;1
350300.0;2.254992;48.921233;92025000AE;92025000AE0242;3195;61.04;1.0;0
347000.0;2.227295;48.914577;92025000CD;92025000CD0024;7230;64.28;3.0;0
150000.0;2.237069;48.918993;92025000BH;92025000BH0065;4443;27.02;2.0;0
297000.0;2.255355;48.92065;92025000AE;92025000AE0215;1491;53.25;3.0;0
302000.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;60.0;3.0;1
267500.0;2.233155;48.91434;92025000BE;92025000BE0149;4270;42.0;2.0;1
260500.0;2.252068;48.928295;920250000D;920250000D0086;0145;41.0;2.0;1
160000.0;2.259659;48.924277;920250000T;920250000T0106;1512;37.56;2.0;0
199000.0;2.245373;48.914095;92025000AT;92025000AT0189;8830;32.88;2.0;0
202000.0;2.255366;48.929762;920250000G;920250000G0224;9614;30.0;1.0;1
245400.0;2.254636;48.914403;92025000AJ;92025000AJ0190;2539;41.57;2.0;0
380000.0;2.235928;48.910174;92025000BC;92025000BC0203;1564;64.67;3.0;0
280000.0;2.253666;48.926823;920250000F;920250000F0007;9614;51.23;3.0;0
227000.0;2.249391;48.921706;92025000AN;92025000AN0761;3170;35.39;2.0;0
447000.0;2.257076;48.93355;920250000H;920250000H0476;3576;91.0;4.0;1
354000.0;2.254636;48.914403;92025000AJ;92025000AJ0190;2539;60.22;3.0;0
497000.0;2.254803;48.923235;92025000AC;92025000AC0408;6870;83.67;4.0;0
105000.0;2.253238;48.927224;920250000D;920250000D0072;5280;17.8;1.0;0
215000.0;2.254746;48.928869;920250000G;920250000G0140;9614;57.32;2.0;0
237000.0;2.25219;48.918311;92025000AM;92025000AM0056;4442;39.54;2.0;0
208627.0;2.236011;48.912683;92025000AZ;92025000AZ0066;1634;40.15;2.0;0
265000.0;2.262261;48.920069;920250000Z;920250000Z0195;8881;52.44;3.0;0
357820.84;2.271349;48.927369;920250000P;920250000P0208;3153;84.0;4.0;1
227528.0;2.254244;48.932511;920250000B;920250000B0249;0010;43.0;2.0;1
351666.66;2.271349;48.927369;920250000P;920250000P0208;3153;83.0;4.0;1
350000.0;2.261917;48.924412;920250000U;920250000U0232;0022;74.21;4.0;0
383317.0;2.254244;48.932511;920250000B;920250000B0249;0010;80.2;4.0;1
238000.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;31.0;1.0;1
326000.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;62.0;3.0;1
365000.0;2.232262;48.911353;92025000CF;92025000CF0225;1481;66.91;3.0;0
235000.0;2.232262;48.911353;92025000CF;92025000CF0225;1481;53.53;2.0;0
240100.0;2.238479;48.922782;92025000BM;92025000BM0292;7278;55.94;3.0;0
200000.0;2.259262;48.923271;92025000AB;92025000AB0296;4650;62.0;3.0;0
350000.0;2.265671;48.923464;920250000X;920250000X0207;6125;64.6;3.0;0
555000.0;2.253761;48.915336;92025000AJ;92025000AJ0327;4442;85.53;4.0;0
270400.0;2.256458;48.922124;92025000AB;92025000AB0218;6158;47.23;3.0;0
370000.0;2.233155;48.91434;92025000BE;92025000BE0149;4270;65.98;3.0;1
320900.0;2.252068;48.928295;920250000D;920250000D0086;0145;65.0;3.0;1
163000.0;2.257076;48.93355;920250000H;920250000H0476;3576;28.0;1.0;1
439600.0;2.252068;48.928295;920250000D;920250000D0086;0145;100.0;5.0;1
247000.0;2.262261;48.920069;920250000Z;920250000Z0195;8881;52.39;3.0;0
107500.0;2.265793;48.922631;920250000V;920250000V0007;9120;17.0;1.0;0
216370.0;2.247969;48.914139;92025000AQ;92025000AQ0073;4660;43.03;2.0;0
361706.0;2.255366;48.929762;920250000G;920250000G0224;9614;64.0;3.0;1
277536.0;2.255366;48.929762;920250000G;920250000G0224;9614;43.0;2.0;1
422000.0;2.257076;48.93355;920250000H;920250000H0476;3576;101.0;5.0;1
213327.0;2.260147;48.933013;920250000H;920250000H0298;0159;64.53;1.0;0
347081.0;2.257076;48.93355;920250000H;920250000H0476;3576;62.0;3.0;1
363800.0;2.252068;48.928295;920250000D;920250000D0086;0145;72.0;3.0;1
240000.0;2.253692;48.914612;92025000AJ;92025000AJ0203;4442;51.72;2.0;0
463000.0;2.269336;48.928173;920250000Q;920250000Q0440;8532;87.5;2.0;0
162000.0;2.232826;48.916421;92025000BG;92025000BG0287;4115;28.85;1.0;0
320000.0;2.233117;48.921747;92025000BO;92025000BO0642;7278;67.14;3.0;0
333000.0;2.269419;48.932415;920250000M;920250000M0887;4876;88.0;4.0;1
295000.0;2.252469;48.917155;92025000AL;92025000AL0166;4442;67.13;2.0;0
350000.0;2.233542;48.91039;92025000CF;92025000CF0198;1564;62.01;3.0;0
347300.0;2.241038;48.912763;92025000AS;92025000AS0206;1646;63.59;3.0;0
181000.0;2.246603;48.923661;92025000BK;92025000BK0158;0065;48.42;3.0;0
343080.0;2.241258;48.912784;92025000AS;92025000AS0208;7110;64.06;3.0;0
538400.0;2.249055;48.924529;92025000BJ;92025000BJ0026;8825;98.21;5.0;0
356062.5;2.271349;48.927369;920250000P;920250000P0208;3153;83.0;4.0;1
367491.66;2.271349;48.927369;920250000P;920250000P0208;3153;84.0;4.0;1
211000.0;2.254244;48.932511;920250000B;920250000B0249;0010;38.4;1.0;1
230000.0;2.262261;48.920069;920250000Z;920250000Z0195;8881;41.07;2.0;0
149000.0;2.257353;48.92307;92025000AB;92025000AB0325;0765;27.89;1.0;0
323909.0;2.252587;48.932724;920250000B;920250000B0252;0010;65.0;3.0;1
320149.8;2.241498;48.924817;92025000BL;92025000BL0194;9970;65.0;3.0;1
369200.0;2.252068;48.928295;920250000D;920250000D0086;0145;81.0;4.0;1
345000.0;2.231823;48.91578;92025000BF;92025000BF0056;4115;88.0;3.0;1
356063.0;2.224321;48.91606;92025000BZ;92025000BZ0222;1666;90.0;4.0;1
388200.0;2.252068;48.928295;920250000D;920250000D0086;0145;87.0;4.0;1
346919.0;2.257076;48.93355;920250000H;920250000H0476;3576;62.0;3.0;1
241546.0;2.255348;48.914638;92025000AJ;92025000AJ0185;3545;46.0;3.0;0
190000.0;2.255366;48.929762;920250000G;920250000G0224;9614;28.0;1.0;1
334408.0;2.255366;48.929762;920250000G;920250000G0224;9614;67.0;3.0;1
178000.0;2.252972;48.927844;920250000D;920250000D0100;7220;42.08;1.0;0
156000.0;2.255627;48.921497;92025000AE;92025000AE0042;6158;24.28;1.0;0
250000.0;2.236954;48.91127;92025000AZ;92025000AZ0081;1634;48.2;3.0;0
267000.0;2.251287;48.917072;92025000AL;92025000AL0188;9658;44.45;2.0;0
