valeur_fonciere;longitude;latitude;code_secteur_ville;id_parcelle;adresse_code_voie;lots_surface_logement;nombre_pieces_principales;construction_recente
350000.0;2.261917;48.924412;20;181;20;74.21;4.0;0
383317.0;2.254244;48.932511;1;3;1;80.2;4.0;1
238000.0;2.231823;48.91578;52;582;52;31.0;1.0;1
326000.0;2.231823;48.91578;52;582;52;62.0;3.0;1
365000.0;2.232262;48.911353;71;700;71;66.91;3.0;0
235000.0;2.232262;48.911353;71;700;71;53.53;2.0;0
240100.0;2.238479;48.922782;59;649;59;55.94;3.0;0
200000.0;2.259262;48.923271;25;264;25;62.0;3.0;0
350000.0;2.265671;48.923464;22;213;22;64.6;3.0;0
555000.0;2.253761;48.915336;33;406;33;85.53;4.0;0
270400.0;2.256458;48.922124;25;263;25;47.23;3.0;0
370000.0;2.233155;48.91434;51;575;51;65.98;3.0;1
320900.0;2.252068;48.928295;3;22;3;65.0;3.0;1
163000.0;2.257076;48.93355;7;90;7;28.0;1.0;1
439600.0;2.252068;48.928295;3;22;3;100.0;5.0;1
247000.0;2.262261;48.920069;24;247;24;52.39;3.0;0
107500.0;2.265793;48.922631;21;183;21;17.0;1.0;0
216370.0;2.247969;48.914139;40;451;40;43.03;2.0;0
361706.0;2.255366;48.929762;6;82;6;64.0;3.0;1
277536.0;2.255366;48.929762;6;82;6;43.0;2.0;1
422000.0;2.257076;48.93355;7;90;7;101.0;5.0;1
213327.0;2.260147;48.933013;7;88;7;64.53;1.0;0
347081.0;2.257076;48.93355;7;90;7;62.0;3.0;1
363800.0;2.252068;48.928295;3;22;3;72.0;3.0;1
240000.0;2.253692;48.914612;33;395;33;51.72;2.0;0
463000.0;2.269336;48.928173;16;143;16;87.5;2.0;0
162000.0;2.232826;48.916421;53;592;53;28.85;1.0;0
320000.0;2.233117;48.921747;61;658;61;67.14;3.0;0
333000.0;2.269419;48.932415;12;114;12;88.0;4.0;1
295000.0;2.252469;48.917155;35;415;35;67.13;2.0;0
350000.0;2.233542;48.91039;71;697;71;62.01;3.0;0
347300.0;2.241038;48.912763;42;470;42;63.59;3.0;0
181000.0;2.246603;48.923661;57;635;57;48.42;3.0;0
343080.0;2.241258;48.912784;42;472;42;64.06;3.0;0
538400.0;2.249055;48.924529;56;612;56;98.21;5.0;0
356062.5;2.271349;48.927369;15;128;15;83.0;4.0;1
367491.66;2.271349;48.927369;15;128;15;84.0;4.0;1
211000.0;2.254244;48.932511;1;3;1;38.4;1.0;1
230000.0;2.262261;48.920069;24;247;24;41.07;2.0;0
149000.0;2.257353;48.92307;25;266;25;27.89;1.0;0
323909.0;2.252587;48.932724;1;5;1;65.0;3.0;1
320149.8;2.241498;48.924817;58;644;58;65.0;3.0;1
369200.0;2.252068;48.928295;3;22;3;81.0;4.0;1
345000.0;2.231823;48.91578;52;582;52;88.0;3.0;1
356063.0;2.224321;48.91606;68;693;68;90.0;4.0;1
388200.0;2.252068;48.928295;3;22;3;87.0;4.0;1
346919.0;2.257076;48.93355;7;90;7;62.0;3.0;1
241546.0;2.255348;48.914638;33;390;33;46.0;3.0;0
190000.0;2.255366;48.929762;6;82;6;28.0;1.0;1
334408.0;2.255366;48.929762;6;82;6;67.0;3.0;1
178000.0;2.252972;48.927844;3;23;3;42.08;1.0;0
156000.0;2.255627;48.921497;28;302;28;24.28;1.0;0
250000.0;2.236954;48.91127;48;516;48;48.2;3.0;0
267000.0;2.251287;48.917072;35;420;35;44.45;2.0;0
226600.0;2.240484;48.918208;45;490;45;52.86;3.0;0
195000.0;2.265536;48.928985;17;152;17;43.81;2.0;0
304834.0;2.255366;48.929762;6;82;6;47.0;2.0;1
349000.0;2.230952;48.914257;51;578;51;61.74;3.0;0
328000.0;2.255366;48.929762;6;82;6;64.0;3.0;1
364854.0;2.225002;48.916161;68;686;68;87.0;4.0;1
363447.0;2.241498;48.924817;58;644;58;81.0;4.0;1
420000.0;2.233155;48.91434;51;575;51;83.67;4.0;1
325000.0;2.254992;48.921233;28;311;28;61.51;4.0;0
227500.0;2.266104;48.922006;21;194;21;40.1;2.0;0
366300.0;2.260985;48.923136;22;218;22;78.96;4.0;0
339000.0;2.259628;48.92539;19;169;19;64.5;3.0;0
321523.0;2.239;48.910376;49;551;49;60.24;3.0;0
180000.0;2.258879;48.921663;25;261;25;37.26;1.0;0
222000.0;2.257571;48.921342;28;305;28;38.79;1.0;0
178029.0;2.259659;48.924277;19;157;19;35.01;2.0;0
276453.8;2.241498;48.924817;58;644;58;66.0;3.0;1
318258.0;2.254244;48.932511;1;3;1;62.6;3.0;1
352000.0;2.254244;48.932511;1;3;1;61.1;3.0;1
383000.0;2.25553;48.922533;25;268;25;82.95;4.0;0
226500.0;2.247832;48.925286;56;627;56;37.81;2.0;0
90000.0;2.252219;48.919081;36;427;36;25.9;2.0;0
316000.0;2.259346;48.919491;24;231;24;55.39;2.0;0
304335.2;2.232656;48.922969;67;684;67;50.0;2.0;1
296586.0;2.241498;48.924817;58;644;58;61.0;3.0;1
405000.0;2.253861;48.927309;5;62;5;81.0;4.0;1
221000.0;2.271729;48.931355;13;115;13;76.52;4.0;0
343370.0;2.227295;48.914577;69;694;69;59.08;3.0;0
275396.0;2.252587;48.932724;1;5;1;48.0;3.0;1
339358.0;2.254244;48.932511;1;3;1;66.6;3.0;1
327187.0;2.252587;48.932724;1;5;1;65.0;3.0;1
333000.0;2.262121;48.92368;22;215;22;63.88;3.0;0
226000.0;2.240379;48.923023;59;650;59;54.16;3.0;0
355000.0;2.260521;48.923527;22;209;22;69.0;2.0;0
180000.0;2.240929;48.927356;64;672;64;63.78;3.0;0
277130.0;2.247832;48.925286;56;627;56;68.74;3.0;0
309000.0;2.257076;48.93355;7;90;7;62.0;2.0;1
215300.0;2.238479;48.922782;59;649;59;68.48;4.0;0
237025.0;2.235253;48.913471;47;508;47;42.43;2.0;0
196500.0;2.253027;48.924138;4;55;4;35.01;2.0;0
201500.0;2.253238;48.927224;3;18;3;37.8;2.0;0
450426.0;2.255366;48.929762;6;82;6;81.0;4.0;1
290000.0;2.245438;48.926059;65;678;65;63.23;3.0;0
312000.0;2.271265;48.926556;15;127;15;75.38;4.0;0
